         7399 function calls (7117 primitive calls) in 5.919 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 _decoders.py:76(decode)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1188(domain_return_ok)
       25    0.000    0.000    0.000    0.000 _typing.py:11(is_annotated_type)
        1    0.000    0.000    0.000    0.000 _qs.py:55(stringify_items)
       32    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       28    0.000    0.000    0.000    0.000 request.py:397(add_header)
        1    0.000    0.000    0.000    0.000 http11.py:351(close)
       46    0.000    0.000    0.000    0.000 _urlparse.py:206(<genexpr>)
        1    0.000    0.000    0.000    0.000 socket.py:496(_real_close)
        6    0.000    0.000    0.000    0.000 traitlets.py:708(__get__)
        3    0.000    0.000    0.000    0.000 cookiejar.py:620(request_host)
        2    0.000    0.000    0.000    0.000 idna.py:155(encode)
        1    0.000    0.000    0.000    0.000 _multipart.py:74(get_length)
        2    0.000    0.000    0.000    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        6    0.000    0.000    0.000    0.000 socket.py:100(_intenum_converter)
        1    0.000    0.000    0.000    0.000 _compat.py:121(model_copy)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:992(setdefault)
        5    0.000    0.000    0.000    0.000 __init__.py:280(_compile)
        1    0.000    0.000    0.000    0.000 ssl.py:441(_encode_hostname)
        1    0.000    0.000    0.000    0.000 _files.py:49(to_httpx_files)
        1    0.000    0.000    0.000    0.000 threading.py:567(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method nt.fstat}
        1    0.000    0.000    0.000    0.000 queues.py:225(get)
        1    0.000    0.000    0.000    0.000 base_events.py:720(call_later)
        7    0.000    0.000    0.000    0.000 _headers.py:205(get_comma_header)
       12    0.000    0.000    0.000    0.000 _models.py:272(__contains__)
        2    0.000    0.000    0.000    0.000 _events.py:337(__init__)
        2    0.000    0.000    0.000    0.000 base_events.py:762(call_soon)
        2    0.000    0.000    0.000    0.000 traitlets.py:3446(validate)
       43    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 cookiejar.py:647(request_path)
        3    0.000    0.000    0.000    0.000 copy.py:247(_reconstruct)
        2    0.000    0.000    0.000    0.000 _urls.py:388(__str__)
        1    0.000    0.000    0.000    0.000 socket.py:777(recv_multipart)
        2    0.000    0.000    0.000    0.000 _synchronization.py:239(__init__)
      111    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        2    0.000    0.000    0.000    0.000 _connection.py:81(_body_framing)
        1    0.000    0.000    0.000    0.000 _base_client.py:594(default_headers)
